3.30;1543.00;362.00;10913.57
4.60;1699.00;496.00;10504.95
4.60;1656.00;400.00;10527.38
4.90;1659.00;360.00;9946.98
4.40;1666.00;337.00;8845.97
4.70;1665.00;312.00;9087.45
5.00;1626.00;320.00;9848.93
5.60;1598.00;326.00;10021.71
5.50;1615.00;267.00;9923.04
5.40;1565.00;313.00;10111.04
5.80;1566.00;265.00;10402.07
6.00;1651.00;176.00;9944.90
6.30;1680.00;178.00;9923.94
7.40;1665.00;280.00;9239.25
7.00;1787.00;237.00;8732.58
7.30;1691.00;226.00;8659.27
7.20;1669.00;257.00;7593.04
6.60;1716.00;252.00;8395.64
6.60;1758.00;261.00;8902.95
6.60;1738.00;277.00;8342.38
6.20;1695.00;233.00;8053.74
6.10;1803.00;247.00;7890.24
5.90;1799.00;224.00;7992.83
6.30;1771.00;185.00;8478.48
6.60;1896.00;169.00;8851.45
7.20;1808.00;232.00;8983.66
6.70;1854.00;194.00;9232.68
6.80;1757.00;183.00;9416.67
6.70;1803.00;203.00;9276.80
6.50;1835.00;208.00;9802.46
7.00;1875.00;193.00;9785.35
6.90;1885.00;207.00;10452.74
6.70;1966.00;225.00;10487.78
6.80;1961.00;189.00;10582.25
6.00;2012.00;225.00;10357.52
5.90;1918.00;196.00;10227.27
5.90;1987.00;186.00;10187.18
6.40;1952.00;251.00;10434.00
6.30;1966.00;214.00;10138.45
6.30;2066.00;238.00;10170.12
5.80;2070.00;282.00;10082.04
5.60;2150.00;305.00;10028.73
5.60;2020.00;263.00;10425.80
6.00;2112.00;299.00;10783.75
4.90;2056.00;275.00;10489.72
5.00;2041.00;267.00;10769.04
5.30;2097.00;284.00;10504.57
5.40;2079.00;198.00;10192.00
5.10;2082.00;230.00;10462.86
5.30;2139.00;296.00;10273.59
5.30;2114.00;279.00;10641.78
5.30;2062.00;271.00;10481.44
4.80;2150.00;314.00;10569.50
4.50;2085.00;280.00;10440.07
4.40;2178.00;289.00;10806.03
5.30;2203.00;348.00;10718.30
4.70;2219.00;306.00;10862.14
4.70;2263.00;341.00;10993.25
4.80;2170.00;284.00;11113.00
4.90;2218.00;323.00;11367.78
4.50;2120.00;303.00;11169.03
4.60;2212.00;329.00;11149.34
4.90;2141.00;369.00;11184.80
4.10;2118.00;361.00;11382.75
4.50;1998.00;396.00;11678.99
4.10;1905.00;320.00;12080.25
3.80;1867.00;366.00;12220.97
4.40;1763.00;344.00;12459.54
4.10;1722.00;347.00;12617.20
3.80;1655.00;361.00;12268.63
3.70;1570.00;359.00;12354.52
4.30;1535.00;289.00;13062.75
4.00;1638.00;315.00;13628.69
4.60;1626.00;365.00;13409.60
4.70;1598.00;349.00;13211.09
4.50;1596.00;362.00;13358.39
4.60;1470.00;387.00;13895.71
3.90;1493.00;367.00;13924.16
4.00;1407.00;371.00;13368.22
3.70;1361.00;387.00;13261.82
3.60;1321.00;334.00;12638.17
4.10;1261.00;323.00;12264.36
4.30;1192.00;298.00;12266.64
4.50;1224.00;270.00;12818.34
4.60;1149.00;266.00;12637.67
5.10;1094.00;293.00;11344.64
5.00;1014.00;270.00;11379.89
5.00;967.00;248.00;11545.63
4.80;1008.00;300.00;10847.40
5.30;995.00;291.00;9326.04
5.20;1180.00;248.00;8826.89
5.50;921.00;256.00;8772.25
5.70;858.00;272.00;8000.62
6.00;797.00;214.00;7056.48
6.20;736.00;238.00;7606.13
7.00;626.00;147.00;8167.41
8.30;554.00;139.00;8501.53
10.90;545.00;113.00;8447.53
11.50;558.00;130.00;9173.65
12.20;513.00;114.00;9492.32
12.40;521.00;104.00;9711.60
12.60;556.00;101.00;9712.13
12.60;601.00;99.00;10343.82
12.40;595.00;109.00;10430.69
11.80;616.00;133.00;10068.99
11.90;609.00;131.00;10326.10
12.20;583.00;146.00;10857.31
12.50;623.00;128.00;11009.60
11.90;664.00;154.00;10133.94
13.00;636.00;138.00;9773.27
12.10;650.00;152.00;10468.82
12.60;687.00;146.00;10016.01
11.10;637.00;189.00;10789.72
10.30;575.00;196.00;11120.30
9.90;587.00;216.00;11007.23
10.00;579.00;223.00;11577.43
9.50;580.00;190.00;11892.50
9.60;563.00;196.00;12226.49
9.50;558.00;204.00;12321.02
9.90;560.00;196.00;12810.16
10.00;632.00;168.00;12569.41
9.90;576.00;228.00;12414.34
9.90;542.00;207.00;12144.22
9.70;583.00;220.00;11613.30
9.40;581.00;247.00;10912.10
9.60;618.00;239.00;11951.53
9.20;636.00;222.00;12046.21
9.20;621.00;258.00;12221.19
8.90;647.00;233.00;12632.76
8.40;610.00;244.00;12952.29
7.70;671.00;242.00;13211.36
7.70;706.00;210.00;13214.16
7.90;697.00;218.00;12391.56
8.40;715.00;254.00;12879.71
8.40;733.00;248.00;13007.47
7.60;797.00;316.00;13092.15
6.90;747.00;273.00;13437.66
7.10;807.00;317.00;13099.19
6.90;790.00;323.00;13027.73
7.20;840.00;302.00;13104.30
7.30;832.00;263.00;13860.58
6.70;921.00;255.00;14054.49
7.00;895.00;272.00;14578.54
6.40;930.00;221.00;14839.80
7.50;938.00;235.00;15123.55
7.90;928.00;263.00;14911.60
7.20;971.00;281.00;15503.85
6.40;932.00;271.00;14801.55
6.40;1015.00;261.00;15132.49
6.80;1016.00;243.00;15558.01
6.40;951.00;215.00;16087.12
6.90;986.00;262.00;16572.17
6.20;947.00;285.00;15697.69
6.90;1015.00;264.00;16321.71
6.20;1031.00;315.00;16458.05
6.20;1042.00;246.00;16580.26
5.50;1013.00;254.00;16716.85
5.60;1001.00;256.00;16828.53
5.50;1032.00;263.00;16561.70
5.40;1078.00;273.00;17097.42
5.20;1080.00;303.00;17040.46
5.30;1007.00;310.00;17390.90
4.40;1015.00;322.00;17827.27
5.20;1053.00;320.00;17823.07
5.00;1045.00;311.00;17169.99
4.50;1062.00;297.00;18134.05
4.30;1123.00;284.00;17778.52
4.20;1073.00;299.00;17859.27
3.90;1070.00;281.00;18017.82
5.20;1073.00;306.00;17638.12
5.20;1114.00;300.00;17696.74
4.80;1071.00;311.00;16528.03
4.00;1178.00;337.00;16278.62
4.60;1266.00;330.00;17672.62
3.90;1334.00;284.00;17719.72
4.30;1142.00;366.00;17405.48
4.00;1166.00;321.00;16453.63
4.10;1129.00;312.00;16545.67
4.00;1175.00;311.00;17661.74
4.00;1286.00;238.00;17783.78
4.00;1201.00;317.00;17754.55
4.30;1188.00;336.00;17924.24
4.70;1162.00;320.00;18434.50
4.30;1077.00;337.00;18396.57
4.50;1130.00;397.00;18279.60
