3.3;362;10913.57
4.6;496;10504.95
4.6;400;10527.38
4.9;360;9946.98
4.4;337;8845.97
4.7;312;9087.45
5;320;9848.93
5.6;326;10021.71
5.5;267;9923.04
5.4;313;10111.04
5.8;265;10402.07
6;176;9944.9
6.3;178;9923.94
7.4;280;9239.25
7;237;8732.58
7.3;226;8659.27
7.2;257;7593.04
6.6;252;8395.64
6.6;261;8902.95
6.6;277;8342.38
6.2;233;8053.74
6.1;247;7890.24
5.9;224;7992.83
6.3;185;8478.48
6.6;169;8851.45
7.2;232;8983.66
6.7;194;9232.68
6.8;183;9416.67
6.7;203;9276.8
6.5;208;9802.46
7;193;9785.35
6.9;207;10452.74
6.7;225;10487.78
6.8;189;10582.25
6;225;10357.52
5.9;196;10227.27
5.9;186;10187.18
6.4;251;10434
6.3;214;10138.45
6.3;238;10170.12
5.8;282;10082.04
5.6;305;10028.73
5.6;263;10425.8
6;299;10783.75
4.9;275;10489.72
5;267;10769.04
5.3;284;10504.57
5.4;198;10192
5.1;230;10462.86
5.3;296;10273.59
5.3;279;10641.78
5.3;271;10481.44
4.8;314;10569.5
4.5;280;10440.07
4.4;289;10806.03
5.3;348;10718.3
4.7;306;10862.14
4.7;341;10993.25
4.8;284;11113
4.9;323;11367.78
4.5;303;11169.03
4.6;329;11149.34
4.9;369;11184.8
4.1;361;11382.75
4.5;396;11678.99
4.1;320;12080.25
3.8;366;12220.97
4.4;344;12459.54
4.1;347;12617.2
3.8;361;12268.63
3.7;359;12354.52
4.3;289;13062.75
4;315;13628.69
4.6;365;13409.6
4.7;349;13211.09
4.5;362;13358.39
4.6;387;13895.71
3.9;367;13924.16
4;371;13368.22
3.7;387;13261.82
3.6;334;12638.17
4.1;323;12264.36
4.3;298;12266.64
4.5;270;12818.34
4.6;266;12637.67
5.1;293;11344.64
5;270;11379.89
5;248;11545.63
4.8;300;10847.4
5.3;291;9326.04
5.2;248;8826.89
5.5;256;8772.25
5.7;272;8000.62
6;214;7056.48
6.2;238;7606.13
7;147;8167.41
8.3;139;8501.53
10.9;113;8447.53
11.5;130;9173.65
12.2;114;9492.32
12.4;104;9711.6
12.6;101;9712.13
12.6;99;10343.82
12.4;109;10430.69
11.8;133;10068.99
11.9;131;10326.1
12.2;146;10857.31
12.5;128;11009.6
11.9;154;10133.94
13;138;9773.27
12.1;152;10468.82
12.6;146;10016.01
11.1;189;10789.72
10.3;196;11120.3
9.9;216;11007.23
10;223;11577.43
9.5;190;11892.5
9.6;196;12226.49
9.5;204;12321.02
9.9;196;12810.16
10;168;12569.41
9.9;228;12414.34
9.9;207;12144.22
9.7;220;11613.3
9.4;247;10912.1
9.6;239;11951.53
9.2;222;12046.21
9.2;258;12221.19
8.9;233;12632.76
8.4;244;12952.29
7.7;242;13211.36
7.7;210;13214.16
7.9;218;12391.56
8.4;254;12879.71
8.4;248;13007.47
7.6;316;13092.15
6.9;273;13437.66
7.1;317;13099.19
6.9;323;13027.73
7.2;302;13104.3
7.3;263;13860.58
6.7;255;14054.49
7;272;14578.54
6.4;221;14839.8
7.5;235;15123.55
7.9;263;14911.6
7.2;281;15503.85
6.4;271;14801.55
6.4;261;15132.49
6.8;243;15558.01
6.4;215;16087.12
6.9;262;16572.17
6.2;285;15697.69
6.9;264;16321.71
6.2;315;16458.05
6.2;246;16580.26
5.5;254;16716.85
5.6;256;16828.53
5.5;263;16561.7
5.4;273;17097.42
5.2;303;17040.46
5.3;310;17390.9
4.4;322;17827.27
5.2;320;17823.07
5;311;17169.99
4.5;297;18134.05
4.3;284;17778.52
4.2;299;17859.27
3.9;281;18017.82
5.2;306;17638.12
5.2;300;17696.74
4.8;311;16528.03
4;337;16278.62
4.6;330;17672.62
3.9;284;17719.72
4.3;366;17405.48
4;321;16453.63
4.1;312;16545.67
4;311;17661.74
4;238;17783.78
4;317;17754.55
4.3;336;17924.24
4.7;320;18434.5
4.3;337;18396.57
4.5;397;18279.6
